Day,Streamflow (m^3/s),Stdev
142,1007.6690595555554,406.02734437059576
143,1060.3367344,417.07547726482716
144,1108.0481826666667,377.3886330771851
145,1146.2231619555553,370.6979210627831
146,1183.7319098666667,389.18404647496743
147,1217.7364537777776,405.6691426500434
148,1260.5058338666668,469.2551213317838
149,1359.3810202666666,515.6841495210491
150,1394.7785934222225,520.1204984351943
151,1413.4889190222227,531.2498724194382
152,1410.9545654222222,488.71611331840904
153,1402.0355599999998,437.035256453848
154,1406.1108194666665,451.6341113969748
155,1465.4022657777778,481.8216009530694
156,1496.9825769777776,447.96504252968725
157,1545.3775613333337,458.3060574935369
158,1586.6516570666665,461.5114412703452
159,1598.5824688000002,478.7708842514629
160,1564.183062844444,403.52360416982253
161,1522.5015198222218,382.0710360412814
162,1483.6083950222223,339.27898605042697
163,1522.437807022222,334.01832272988065
164,1581.7449848888887,425.936883483934
165,1619.063380977778,449.4766438757839
166,1562.7743020444445,474.7972469074274
167,1572.0747976888892,481.2096489966637
168,1597.7518426666668,465.85528514198506
169,1605.074881777778,438.37391996712034
170,1561.9491819555558,383.04897000798013
171,1541.6940175999998,409.45014257653605
172,1568.0899946666673,383.3616644935674
173,1604.1443602666668,397.4247209711694
174,1615.9587584888886,470.72589831503376
175,1630.7660851555554,466.1059034648654
176,1621.2823168888888,456.7468025257686
177,1663.8998874666665,431.829244047426
178,1640.676178577778,420.9378619627865
179,1733.9981258666664,456.0278557566229
180,1791.4214499555558,469.47851748830885
181,1722.9191778666664,392.333432719434
182,1702.0795862222221,441.2121165473075
183,1694.539451644444,442.5670124911486
184,1669.4617789333327,445.87435133369144
185,1635.0332695999996,421.8930587816754
186,1620.4013497777776,398.7749219846265
187,1596.6238901333334,323.9198949801375
188,1596.3029664000003,312.64128737126373
189,1586.9985378666665,325.09234676907386
190,1589.7004325333337,363.65288347018435
191,1618.4467040000006,405.0863250344657
192,1676.1358913777776,494.89392416458765
193,1604.6753002666667,436.55952493919426
194,1622.3198129777777,496.0867984984065
195,1543.3198738666667,404.3189546063419
196,1484.1865296888889,390.4334925023945
197,1437.787093155555,378.4745500266388
198,1435.9394219555552,380.95059959899464
199,1481.0787608888888,472.3239464708407
200,1461.8909825777773,395.82909918019146
201,1453.5155024000003,332.5931957805237
202,1430.9454396444444,358.8868989343075
203,1450.2669361777776,307.03196499041735
204,1422.3575834666667,379.0508713283118
