x,y
795659.0872344397,5844758.338219964
795735.0120230963,5844801.358751578
795886.3468112318,5844818.527973888
796107.9110377472,5844857.600985117
796247.9442055993,5844943.150708661
796281.1610432185,5844959.462127379
796294.2512175163,5844966.082588075
796419.8996210042,5844938.384521313
796561.0501475135,5844815.079543656
796691.847834442,5844744.623913383
796825.0354834431,5844671.441991442
796923.7656473655,5844619.416035999
796998.4234646572,5844567.862404437
797151.7946672301,5844557.085802825
797352.3091052263,5844513.989131175
797543.5448407484,5844505.332555221
797663.0957883844,5844535.922199667
797744.2160124284,5844574.347336242
797854.908407844,5844631.801507888
797957.3719649694,5844633.331435308
798102.4066776542,5844675.568046939
798371.7837842408,5844677.481694446
798465.8275320331,5844695.863380563
798632.0144679315,5844782.538285435
798679.4424835191,5844862.387435146
798827.9100328828,5845037.021105559
799015.1267340345,5845168.202485217
799144.2955398802,5845237.73033914
799217.8902269051,5845316.205296096
799280.7835000611,5845413.878861905
799389.5960739602,5845428.503111668
799517.4195216743,5845441.685679076
799600.2686993012,5845602.275701684
799639.1458215581,5845815.9745259695
799734.1099982177,5845969.547933469
799759.6035721547,5846095.687775941
799816.0965383886,5846219.058831831
799951.3709678395,5846341.855308106
800227.8253347952,5846453.338343915
800367.3328737818,5846472.515706138
800746.013453057,5846514.33284712
801033.7805863648,5846560.493999795
801266.8517298029,5846569.903969163
801376.0440812333,5846538.852215945
801473.4926632034,5846466.142622582
801594.928921541,5846356.735609538
801875.8261733305,5846135.099595213
802080.2386816932,5846069.160123384
802360.2136436668,5845975.049597631
802750.9689028951,5845828.89165559
802975.2313101697,5845749.16741829
803217.9258068611,5845680.51856461
803356.8048206671,5845671.050600105
803483.2735315446,5845704.716589699
803588.2514367561,5845703.389538113
803665.9395320646,5845680.748468271
803815.4984981155,5845651.582200562
803900.8468659429,5845700.445693433
804014.6035116925,5845707.548619007
804092.4072926955,5845698.9569174135
804170.8279607998,5845675.846913072
804213.0697503329,5845617.625515747
804385.2317087563,5845300.3995784065
804531.4767971106,5845153.004055519
804581.0888501466,5845054.050473442
804592.3399829448,5844927.450103636
804643.9361205681,5844768.007322401
804689.5560052956,5844592.517874289
804837.8224931337,5844414.05088184
804896.7509783518,5844321.504447572
804900.9498925046,5844122.9966118615
804850.7202710041,5844022.338808272
804742.4023810781,5843933.424012109
804644.6934415139,5843760.412046406
804563.294874088,5843558.776718853
804532.6416641296,5843518.055900259
804360.1796091445,5843391.610127748
804332.7523094618,5843338.632364275
804321.9480356396,5843115.721158411
804333.9640595105,5843012.261441893
804398.2346362133,5842978.451733001
804497.7679422247,5842918.951085091
804551.1407873583,5842874.178802133
804713.8410133978,5842658.73261699
804814.2692986834,5842551.094268857
804815.2677203319,5842502.452961305
804746.5295738581,5842428.951828572
804757.0245033838,5842276.6460471265
804697.1667388567,5842142.545916405
804541.3090502934,5842017.010890481
804536.3686583617,5841950.322577119
804549.6636599855,5841793.211256703
804570.8056843637,5841626.204887061
804550.0925847227,5841546.140226845
804490.009155463,5841449.71682507
804366.0005806119,5841329.308488863
804195.4970448264,5841204.591746146
804169.3993848426,5841164.737041797
804107.9705788764,5841120.468280042
804053.4443977692,5841076.2148721935
804016.699271747,5840979.724578574
803980.8739826828,5840944.098898758
803933.6691948363,5840897.968886093
803824.8546875004,5840883.349041566
803787.6778963322,5840871.206219294
803734.8412490508,5840839.685713781
803519.3619277717,5840625.330271153
803376.2435082659,5840552.594433457
803199.8345394678,5840513.273533216
803073.1238495151,5840482.620715113
803017.6656423629,5840380.064998547
802949.8958081625,5840245.806884179
802867.7143468285,5840149.086089008
802758.3533471776,5840070.6504841745
802604.9329632815,5839971.935688134
802494.8402551723,5839939.631207969
802410.0781154351,5839924.039349922
802402.8570707164,5839888.245112996
802434.1729253202,5839844.171206536
802503.0375919169,5839775.056886615
802553.1605226102,5839696.379716497
802605.2917545604,5839552.08965701
802641.7444421607,5839425.089975389
802629.1192221137,5839286.397426563
802669.6989988278,5839210.441726769
802796.0374927004,5838984.4375536265
802836.6730140615,5838869.812741618
802850.816203803,5838646.4504876435
802971.4815270542,5838471.223989832
803093.2673998278,5838318.623951741
