DOY,Tmin (K),Tmin std (K),Tmax (K),Tmax std (K),Tavg (K),Tavg std (K),Precip (m),Precip std (m)
142,272.61857556242325,2.290598945646337,280.93314378443154,3.6207403110331797,277.04182227882177,2.5690012171827523,0.0027840402656496414,0.003110527274208886
143,273.3231105945035,2.6099879890936557,281.5512246171731,3.779946615332079,277.5818493442395,2.9151500076746846,0.0033329834737238816,0.004392695017253531
144,273.4373399139329,1.9780100071091298,282.23763835635174,4.207906727870856,277.89676630643424,2.7199586471558685,0.0035434408012517374,0.00408519398572951
145,273.2468854074689,2.3387648665408904,282.44102684227187,3.747979254478166,278.1344077370384,2.627262463146986,0.0029639522286266247,0.003910963386922724
146,273.4166996836369,2.2695299046015145,282.5357809980613,3.43679354146522,278.25404751564423,2.5056613037801676,0.002410751056604799,0.0023940107128175036
147,273.58776368087285,2.0205599468587567,283.1352913971322,3.658816643483028,278.66143618871894,2.42925383912882,0.0027757236570112686,0.0034555296138673846
148,273.40039182470827,2.146117254719008,283.2844177546021,3.9770703296393144,278.57884212559503,2.710244973968968,0.0026123361611739876,0.0029972589913204186
149,273.2553993618751,2.2016413366073424,283.4055016070092,4.018952469456575,278.6636396028486,2.7489071255130697,0.0028004479555713757,0.002960196466053215
150,273.9605342480709,2.2001653688881264,283.9416142494145,4.245337860197033,279.20221299679923,2.7439071170024834,0.002613096688815399,0.002574758727192156
151,274.30629180983186,2.1981805435852557,284.33287007099875,4.035300102464123,279.5713582706686,2.711275627882524,0.002679519264260534,0.0030381573430349963
152,274.55796652754043,2.518111116515177,284.3844753705898,3.5964314684551764,279.6342476509713,2.7295757445184865,0.003679564607194357,0.004803913908102498
153,274.3827732845372,2.1471819166879604,284.12598758481937,3.4230951162466132,279.43948056832573,2.5219046469551296,0.002980988914500466,0.0026721697309474448
154,274.26099937495195,2.203108653095578,283.97577136740347,3.083664399815824,279.464155567366,2.188383268894471,0.0029589016118943354,0.0031771871490621833
